Altium Designer Pick and Place Locations
C:\Repo\cnc_projects\STM32F446CE_CNC_BOARD\Project Outputs for FLEXI_HAL_2000\FLEXI_HAL_2000_UPLOAD_GERBERS_A4\Pick Place\FLEXI_HAL_2000_CAM_OUTPUT_A4.txt

========================================================================================================================
File Design Information:

Date:       03-08-22
Time:       11:32
Revision:   3607a5cc18939c10a6c6433affdf817dc8ca3d51
Variant:    FULL_PLACE
Units used: mil

Designator Comment                                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
Logo2      "Expatria Technologies"                     TopLayer    Expatria-Logo                 3952.302      2020.019      315      ""                                                                                                               
D31        "B5819W  SL"                                TopLayer    SOD-123                       4542.323      3356.299      0        "Schottky Diode"                                                                                                 
D30        "B5819W  SL"                                TopLayer    SOD-123                       4542.323      3149.606      0        "Schottky Diode"                                                                                                 
D29        "B5819W  SL"                                TopLayer    SOD-123                       4542.323      2942.914      0        "Schottky Diode"                                                                                                 
D28        "B5819W  SL"                                TopLayer    SOD-123                       4542.323      2736.221      0        "Schottky Diode"                                                                                                 
U2_LS_Z    EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   1117.126      1806.102      270      "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
U2_LS_Y    EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   939.961       1806.102      270      "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
U2_LS_X    EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   762.795       1806.102      270      "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
U2_LS_B    EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   1471.457      1806.102      270      "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
U2_LS_A    EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   1294.291      1806.102      270      "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
U1         EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   2746.063      2529.528      270      ????                                                                                                             
R53        "10KO ±1%"                                  TopLayer    0603_R                        1909.449      762.795       180      "Chip resistor"                                                                                                  
R52        "10KO ±1%"                                  TopLayer    0603_R                        1791.339      3631.102      270      "Chip resistor"                                                                                                  
R21_LS_Z   "1KO ±1%"                                   TopLayer    0603_R                        1663.386      3631.890      270      "Chip resistor"                                                                                                  
R21_LS_Y   "1KO ±1%"                                   TopLayer    0603_R                        1186.024      3631.890      270      "Chip resistor"                                                                                                  
R21_LS_X   "1KO ±1%"                                   TopLayer    0603_R                        703.740       3633.858      270      "Chip resistor"                                                                                                  
R21_LS_B   "1KO ±1%"                                   TopLayer    0603_R                        2645.401      3627.882      270      "Chip resistor"                                                                                                  
R21_LS_A   "1KO ±1%"                                   TopLayer    0603_R                        2145.669      3622.047      270      "Chip resistor"                                                                                                  
R20_LS_Z   "4.7KO ±1%"                                 TopLayer    0603_R                        1117.126      1530.512      180      "Chip resistor"                                                                                                  
R20_LS_Y   "4.7KO ±1%"                                 TopLayer    0603_R                        940.748       1525.591      180      "Chip resistor"                                                                                                  
R20_LS_X   "4.7KO ±1%"                                 TopLayer    0603_R                        767.716       1530.512      180      "Chip resistor"                                                                                                  
R20_LS_B   "4.7KO ±1%"                                 TopLayer    0603_R                        1471.457      1530.512      180      "Chip resistor"                                                                                                  
R20_LS_A   "4.7KO ±1%"                                 TopLayer    0603_R                        1294.291      1530.512      180      "Chip resistor"                                                                                                  
R16        "1KO ±1%"                                   TopLayer    0603_R                        300.197       861.220       0        "Chip resistor"                                                                                                  
